tree_code,published_species,biosample,sra_scientific_name,run,region_class,scope_class,geographic_evidence_relation,tree_code_vs_sra_name,coverage_decision
Cirsium komarovii subsp. schischkinii,Cirsium komarovii subsp. schischkinii (Serg.) O.S.Zhirova,SAMN34240335,Cirsium komarovii subsp. schischkinii,SRR25265640,Russian_Inner_NE_Asia,northeast_asia_bridge,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium serratuloides,Cirsium serratuloides (L.) Hill,SAMN34240336,Cirsium serratuloides,SRR25265643,Russian_Inner_NE_Asia,northeast_asia_bridge,supplement_refines_sra_russia,exact,public_moreyra_nuclear_tip_verified
Cirsium shidokimontanum,Cirsium shidokimontanum Kadota,SAMN44017916,Cirsium shidokimontanum,SRR30887309,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium spicatum,Cirsium spicatum Matsum.,SAMN44017924,Cirsium spicatum,SRR30887300,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium subulariforme,Cirsium subulariforme C.Shih,SAMN44017928,Lophiolepis subulariformis,SRR30887295,China,core_east_asia,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium suzukaense,Cirsium suzukaense Kitam.,SAMN44017929,Cirsium suzukaense,SRR30887298,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium tanakae,Cirsium nipponicum var. incomptum (Maxim.) Kadota,SAMN44017932,Cirsium tanakae,SRR30887291,Japan,core_east_asia,sra_only,exact,public_moreyra_nuclear_tip_verified
Cirsium shihianum,Cirsium shihianum Greuter,SAMN34240346,Cirsium shihianum,SRR25265670,China,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium abukumense,Cirsium abukumense Kadota,SAMN44017936,Cirsium abukumense,SRR30887236,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium abukumense,Cirsium abukumense Kadota,SAMN44017936,Cirsium abukumense,SRR30887287,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium tonense,Cirsium nipponicum var. incomptum (Maxim.) Kadota,SAMN44017937,Cirsium nipponicum var. incomptum,SRR30887286,Japan,core_east_asia,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium uzenense,Cirsium uzenense Kadota,SAMN44017943,Cirsium uzenense,SRR30887279,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium verutum,Cirsium verutum (D.Don) Spreng.,SAMN44017947,Lophiolepis veruta,SRR30887232,Japan,core_east_asia,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium vlassovianum,Cirsium vlassovianum Fisch. ex. DC.,SAMN34240350,Cirsium vlassovianum,SRR25265666,Mongolia,northeast_asia_bridge,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium yezoense,Cirsium yezoense (Maxim.) Makino,SAMN44017952,Cirsium yezoense,SRR30887226,Japan,core_east_asia,concordant,exact,public_moreyra_nuclear_tip_verified
Cirsium nipponicum var. yoshinoi,Cirsium nipponicum var. yoshinoi (Nakai) Kitam.,SAMN44017955,Cirsium yuki-uenoanum,SRR30887222,Japan,core_east_asia,concordant,different_submitted_or_published_name,public_nuclear_tip_verified_name_reconciliation_required
Cirsium yuki-uenoanum,Cirsium yuki-uenoanum Kadota,SAMN44017949,Cirsium waldsteinii,SRR30887230,Japan|Outside_target_region,source_conflict_target_vs_outside,conflicting_resolved_regions,different_submitted_or_published_name,metadata_conflict_requires_manual_resolution
