tip_id,accepted_taxon,analysis_state,state_label,evidence_status,source_scope,source_url,source_basis,same_primary_voucher_state_verified,claim_boundary
Cirsium_kawakamii,Cirsium kawakamii,D,downward_or_nodding,exact_species_treatment,2019 PhytoKeys species treatment,https://pmc.ncbi.nlm.nih.gov/articles/PMC6384280/,mature capitula explicitly described as nodding,false,taxon-concept state; not same-voucher phenotyping
Cirsium_kujuense,Cirsium kujuense,D,downward_or_nodding,exact_authority_concept,NMNS Japanese Cirsium database,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,authority catchphrase states heads flower downward,false,taxon-concept state; not same-voucher phenotyping
Cirsium_maritimum,Cirsium maritimum,?,source_conflict,source_internal_conflict,NMNS Japanese Cirsium detail page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=126,catchphrase says downward but narrative description says erect,false,retain unresolved until source conflict is adjudicated at population/voucher level
Cirsium_morii,Cirsium morii,U,upward_or_erect,exact_species_treatment,Digital Flora of Taiwan species treatment,https://www.efloras.org/florataxon.aspx?flora_id=100&taxon_id=242313149,heads explicitly described as terminal and erect,false,taxon-concept state; not same-voucher phenotyping
Cirsium_nippoense,Cirsium nippoense,U,upward_or_erect,exact_authority_concept,Japan38 NMNS authority seed,repo:data/evidence/japan38_nmns_capitulum_trait_seed_v1.csv,authority categorical upward/erect state,false,taxon-concept state; not same-voucher phenotyping
Cirsium_nipponicum_var_incomptum,Cirsium nipponicum var. incomptum,?,lateral_or_slightly_downward_nonbinary,exact_variety_nonbinary_description,Takao 599 Museum variety treatment,https://www.takao599museum.jp/treasures/plants/%E3%82%AD%E3%82%AF%E7%A7%91-plants/1572/?lang=en,heads described as sideways or slightly downward,false,retain unresolved in strict erect-vs-nodding binary coding
Cirsium_pengii,Cirsium pengii,D,downward_or_nodding,exact_species_treatment,2025 Botanical Studies species treatment,https://pmc.ncbi.nlm.nih.gov/articles/PMC11828781/,mature capitula explicitly described as nodding,false,taxon-concept state; not same-voucher phenotyping
Cirsium_suffultum,Cirsium suffultum,D,downward_or_nodding,exact_authority_concept,NMNS Japanese Cirsium database,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=90,heads explicitly described as nodding/downward,false,taxon-concept state; not same-voucher phenotyping
Cirsium_tatakaense,Cirsium tatakaense,D,downward_or_nodding,exact_species_treatment,2019 PhytoKeys species treatment,https://pmc.ncbi.nlm.nih.gov/articles/PMC6384280/,mature capitula explicitly described as nodding,false,taxon-concept state; not same-voucher phenotyping
Cirsium_yezoense,Cirsium yezoense,D,downward_or_nodding,exact_authority_concept,Japan38 NMNS authority seed,repo:data/evidence/japan38_nmns_capitulum_trait_seed_v1.csv,authority categorical downward/nodding state,false,taxon-concept state; not same-voucher phenotyping
