study_id,article_cluster,taxon,publication_year,context,fitness_endpoint,trait,functional_class,function_confidence,beta_open,se_open,beta_hand,se_hand,delta_beta,se_delta,se_delta_source,included_primary,source_doi,notes
SEL12,Primula2017,Primula alpicola,2017,Lulang_2016,seeds_per_plant,flower_size,flower_sensory,medium,0.094,0.035,0.111,0.030,-0.017,0.0460977223,computed_independent_groups,1,10.1038/s41598-017-13340-0,Flower-level display proxy
SEL13,Primula2017,Primula alpicola,2017,Lulang_2016,seeds_per_plant,scape_height,plant_display,high,-0.002,0.039,0.097,0.033,-0.099,0.0510881591,computed_independent_groups,1,10.1038/s41598-017-13340-0,Plant-level display
SEL14,Primula2017,Primula alpicola,2017,Lulang_2016,seeds_per_plant,rosette_diameter,condition_control,high,-0.010,0.038,-0.052,0.034,0.042,0.0509901951,computed_independent_groups,0,10.1038/s41598-017-13340-0,Vegetative condition covariate excluded from floral-function primary analysis
SEL15,Gym2019,Gymnadenia conopsea,2019,Folkeslunda_2016,female_fitness,flowering_start,phenology,high,-0.042,0.024,-0.030,0.025,-0.013,0.035,reported_delta_se,1,10.1111/nph.15747,Scent traits omitted from restricted morphology/phenology comparison
SEL16,Gym2019,Gymnadenia conopsea,2019,Folkeslunda_2016,female_fitness,plant_height,plant_display,high,0.16,0.037,0.094,0.031,0.070,0.048,reported_delta_se,1,10.1111/nph.15747,Plant-level display
SEL17,Gym2019,Gymnadenia conopsea,2019,Folkeslunda_2016,female_fitness,number_of_flowers,plant_display,high,0.30,0.038,0.27,0.031,0.024,0.049,reported_delta_se,1,10.1111/nph.15747,Plant-level display
SEL18,Gym2019,Gymnadenia conopsea,2019,Folkeslunda_2016,female_fitness,corolla_area,flower_sensory,medium,0.074,0.029,0.11,0.025,-0.033,0.038,reported_delta_se,1,10.1111/nph.15747,Flower-level display proxy
SEL19,Gym2019,Gymnadenia conopsea,2019,Folkeslunda_2016,female_fitness,spur_length,pollination_efficiency,high,0.015,0.031,-0.018,0.026,0.033,0.040,reported_delta_se,1,10.1111/nph.15747,Mechanical fit/efficiency trait
SEL20,Spiranthes2020,Spiranthes sinensis,2020,2018,female_fitness,flowering_start,phenology,high,-0.033,0.050,0.079,0.032,-0.112,0.0593632883,computed_independent_groups,1,10.1093/jpe/rtaa033,Repeated year nested within article
SEL21,Spiranthes2020,Spiranthes sinensis,2020,2018,female_fitness,plant_height,plant_display,high,0.150,0.066,0.246,0.043,-0.096,0.0787718224,computed_independent_groups,1,10.1093/jpe/rtaa033,Repeated year nested within article
SEL22,Spiranthes2020,Spiranthes sinensis,2020,2018,female_fitness,corolla_size,flower_sensory,medium,0.057,0.050,-0.041,0.031,0.098,0.0588302643,computed_independent_groups,1,10.1093/jpe/rtaa033,Repeated year nested within article
SEL23,Spiranthes2020,Spiranthes sinensis,2020,2018,female_fitness,angle_between_flowers,display_architecture,low,-0.042,0.049,0.032,0.032,-0.074,0.0585234996,computed_independent_groups,0,10.1093/jpe/rtaa033,Functional assignment uncertain; excluded primary
SEL24,Spiranthes2020,Spiranthes sinensis,2020,2018,female_fitness,number_of_flowers,plant_display,high,0.399,0.067,0.368,0.044,0.031,0.0801560977,computed_independent_groups,1,10.1093/jpe/rtaa033,Repeated year nested within article
SEL25,Spiranthes2020,Spiranthes sinensis,2020,2019,female_fitness,flowering_start,phenology,high,-0.119,0.049,-0.032,0.036,-0.087,0.0608029605,computed_independent_groups,1,10.1093/jpe/rtaa033,Repeated year nested within article
SEL26,Spiranthes2020,Spiranthes sinensis,2020,2019,female_fitness,plant_height,plant_display,high,0.129,0.070,0.091,0.038,0.038,0.0796492310,computed_independent_groups,1,10.1093/jpe/rtaa033,Repeated year nested within article
SEL27,Spiranthes2020,Spiranthes sinensis,2020,2019,female_fitness,corolla_size,flower_sensory,medium,0.112,0.050,0.030,0.036,0.082,0.0616116872,computed_independent_groups,1,10.1093/jpe/rtaa033,Repeated year nested within article
SEL28,Spiranthes2020,Spiranthes sinensis,2020,2019,female_fitness,angle_between_flowers,display_architecture,low,-0.005,0.050,0.075,0.036,-0.080,0.0616116872,computed_independent_groups,0,10.1093/jpe/rtaa033,Functional assignment uncertain; excluded primary
SEL29,Spiranthes2020,Spiranthes sinensis,2020,2019,female_fitness,number_of_flowers,plant_display,high,0.547,0.071,0.507,0.038,0.040,0.0805046583,computed_independent_groups,1,10.1093/jpe/rtaa033,Repeated year nested within article
SEL30,Lobelia2023,Lobelia siphilitica,2023,ambient,seeds_per_plant,inflorescence_height,plant_display,high,,,,,0.064,0.064,reported_delta_se,1,10.1002/ece3.10706,Pollinator-mediated beta reported directly
SEL31,Lobelia2023,Lobelia siphilitica,2023,ambient,seeds_per_plant,daily_display_size,plant_display,high,,,,,-0.012,0.061,reported_delta_se,1,10.1002/ece3.10706,Pollinator-mediated beta reported directly
SEL32,Lobelia2023,Lobelia siphilitica,2023,ambient,seeds_per_plant,petal_brightness,flower_sensory,high,,,,,-0.032,0.058,reported_delta_se,1,10.1002/ece3.10706,Colour/sensory
SEL33,Lobelia2023,Lobelia siphilitica,2023,ambient,seeds_per_plant,petal_chroma,flower_sensory,high,,,,,0.109,0.056,reported_delta_se,1,10.1002/ece3.10706,Colour/sensory
SEL34,Lobelia2023,Lobelia siphilitica,2023,ambient,seeds_per_plant,corolla_projected_area,flower_sensory,medium,,,,,-0.066,0.059,reported_delta_se,1,10.1002/ece3.10706,Flower-level display
SEL35,Lobelia2023,Lobelia siphilitica,2023,ambient,seeds_per_plant,corolla_tube_length,pollination_efficiency,high,,,,,0.086,0.062,reported_delta_se,1,10.1002/ece3.10706,Pollination efficiency proxy
SEL36,Lobelia2023,Lobelia siphilitica,2023,reduced,seeds_per_plant,inflorescence_height,plant_display,high,,,,,0.121,0.079,reported_delta_se,1,10.1002/ece3.10706,~50 percent reduced pollinator access
SEL37,Lobelia2023,Lobelia siphilitica,2023,reduced,seeds_per_plant,daily_display_size,plant_display,high,,,,,-0.035,0.072,reported_delta_se,1,10.1002/ece3.10706,~50 percent reduced pollinator access
SEL38,Lobelia2023,Lobelia siphilitica,2023,reduced,seeds_per_plant,petal_brightness,flower_sensory,high,,,,,0.023,0.064,reported_delta_se,1,10.1002/ece3.10706,~50 percent reduced pollinator access
SEL39,Lobelia2023,Lobelia siphilitica,2023,reduced,seeds_per_plant,petal_chroma,flower_sensory,high,,,,,0.170,0.065,reported_delta_se,1,10.1002/ece3.10706,~50 percent reduced pollinator access
SEL40,Lobelia2023,Lobelia siphilitica,2023,reduced,seeds_per_plant,corolla_projected_area,flower_sensory,medium,,,,,-0.069,0.071,reported_delta_se,1,10.1002/ece3.10706,~50 percent reduced pollinator access
SEL41,Lobelia2023,Lobelia siphilitica,2023,reduced,seeds_per_plant,corolla_tube_length,pollination_efficiency,high,,,,,0.070,0.076,reported_delta_se,1,10.1002/ece3.10706,~50 percent reduced pollinator access
