taxon,sample_number_within_taxon,location,code,coordinate,altitude_m,voucher,herbarium,embedded_public_accession,raw_reads,raw_gc_percent,trimmed_read_millions,trimmed_gc_percent,trinity_busco_complete_duplicated_percent,cdhit_busco_complete_duplicated_percent,taxon_colour_state,binary_colour_code,sample_morph_resolution,bioproject,source_artifact_sha256
C. japonicum var. fukienense,3,TAIWAN. Kinmen County: Jinhu,KM,"24°27'N, 118°23'E",75,ccy3904,TCF,,46709226,47,11.8,45,9.4/1.4,9.4/0.5,bluish-purple_or_light-purple,C,rare pale-purple plants noted; no white coding,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. fukienense,4,TAIWAN. Lienchiang County: Beigan,MT,"26°12'N, 120°00'E",46,ccy2257,TCF,,51074106,46,21.2,45,86.3/37.1,86.0/14.4,bluish-purple_or_light-purple,C,rare pale-purple plants noted; no white coding,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. australe,1,TAIWAN. Miaoli County: Tongxiao,TX,"24°26'N, 120°41'E",81,ccy2771,TNM,,38066984,54,2.4,45,24.5/3.9,24.3/1.5,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. australe,2,TAIWAN. New Taipei City: Linkou,LK,"25°07'N, 121°18'E",30,ccy3721,TCF,,46622020,46,18.4,45,86.4/28.9,86.1/7.2,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. australe,3,TAIWAN. Taipei City: Yangmingshan,YM,"25°11'N, 121°31'E",837,ccy3571,TNM,,68513998,47,27.5,46,85.0/28.8,84.4/8.6,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. japonicum,1,JAPAN. Fukuoka Prefecture: Fukuoka Experimental Forest,FKK,"33°38'N, 130°31'E",73,ccy4204,TCF,,41302000,46,16.9,45,84.9/33.5,84.7/11.3,coloured,C,Japanese/continental coloured reference,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. japonicum var. japonicum,2,JAPAN. Kumamoto Prefecture: Aso,ASO,"32°53'N, 131°03'E",394,ccy4220,TCF,,47526726,46,18.8,45,87.4/32.9,87.1/10.7,coloured,C,Japanese/continental coloured reference,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. brevicaule,1,JAPAN. Kagoshima Prefecture: Amami,AMM,"28°28'N, 129°43'E",15,ccy4163,TCF,,43221610,46,15.7,44,78.6/25.2,78.5/6.9,white,W,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. brevicaule,2,JAPAN. Kagoshima Prefecture: Yoron,YRN,27°02'N 128°27'E,25,ccy4166,TCF,,39985382,46,15.0,44,79.4/26.9,79.3/8.4,white,W,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. brevicaule,3,JAPAN. Okinawa Prefecture: Kunigami,OKN,"26°52'N, 128°15'E",15,ccy4295,TCF,,50157726,48,20.4,46,82.2/29.7,82.0/10.3,white,W,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. irumtiense,1,JAPAN. Okinawa Prefecture: Miyakojima,MMY,"24°50'N, 125°12'E",14,ccy4078,TCF,,58618080,46,22.4,45,89.6/35.9,89.3/13.5,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. irumtiense,2,JAPAN. Okinawa Prefecture: Ishigaki,ISG,"24°27'N, 124°08'E",16,ccy4111,TNM,,55332926,48,15.4,45,63.9/15.8,63.8/4.6,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. irumtiense,3,JAPAN. Okinawa Prefecture: Yonaguni,YGN,"24°28'N, 123°00'E",20,ccy4296,TCF,,49886182,48,19.8,45,87.9/38.4,87.6/14.9,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. morii,1,TAIWAN. Hualien County: Tianchang,TC,"24°01'N, 121°22'E",1303,ccy3360,TCF,,54837686,45,23.0,45,85.1/39.3,84.8/15.9,pink,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. morii,2,TAIWAN. Hualien County: Heping,TRK,"24°18'N, 121°44'E",35,ccy4365,TCF,,71123946,48,29.3,45,89.0/36.4,87.1/9.7,pink,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. lineare,1,TAIWAN. Miaoli County: Xihu,XH,"24°29'N, 120°45'E",173,ccy3446,TNM,SRR30617342,62493916,45,25.7,45,82.8/37.1,82.5/13.2,coloured,C,outgroup/root reference; exact corolla wording not in supplement table,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. lineare,2,TAIWAN. Miaoli County: Tongxiao,TX,"24°26'N, 120°41'E",81,ccy2770,TNM,SRR30617347,37079400,47,10.9,45,44.3/15.1,44.0/3.3,coloured,C,outgroup/root reference; exact corolla wording not in supplement table,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. tatakaense,1,TAIWAN. Nantou County: Luanantang,LAT,"23°42'N, 120°57'E",2476,ccy4022,TCF,SRR30617336,65271584,45,27.4,43,87.1/40.4,86.7/17.9,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. tatakaense,2,TAIWAN. Chiayi County: Mt. Yushan,YS,"23°28'N, 120°55'E",2913,ccy3458,TCF,SRR30617340,53163164,47,13.9,45,55.6/17.3,55.5/5.9,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. kawakamii,1,TAIWAN. Nantou County: Nenggao,NG,"24°02'N, 121°15'E",2751,ccy3861,TCF,SRR30617338,57811986,47,17.1,45,68.6/31.0,68.4/6.5,white,W,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. kawakamii,2,TAIWAN. Nantou County: Mt. Xiaochilai,CL,"24°08'N, 121°17'E",3040,ccy3544,TNM,SRR30617339,58815152,50,14.1,45,80.1/34.3,79.7/11.1,white,W,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. pengii,1,TAIWAN. New Taipei City: Mt. Lalashan,LLS,"24°43'N, 121°26'E",1736,ccy4054,TCF,SAMN43544268,57811986,46,26.7,45,91.1/38.7,90.9/17.0,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
C. pengii,2,TAIWAN. New Taipei City: Mt. Lalashan,LLS,"24°43'N, 121°26'E",1736,ccy3995,TCF,SAMN43544266,53346610,45,22.4,44,90.2/45.9,89.7/21.1,bluish-purple,C,taxon-level state,PRJNA1311153,650f42cb876e0a7b68aac61b127cb9d7586a3ea0bac4e3070adf204b852251a9
