analysis_id,epistemic_class,negative_status,chapter_destination,chapter3_migration,reason
D13,OTHER_ESTIMAND_PARTIAL,NOT_NEGATIVE,Chapter_3_function,COPY_BOUNDED_PRIOR,"Trait-to-function meta work addresses mechanism and fitness rather than historical change counts."
D14,OTHER_ESTIMAND_POSITIVE,NOT_NEGATIVE,Chapter_3_function,COPY_BOUNDED_PRIOR,"Reduced reproductive herbivory raises seed output about 2.674-fold across four studies but identifies no protective capitulum trait."
D15,STRICT_UNIVERSAL_MODEL_FALSIFIED,RESTRICTED_TRUE_NEGATIVE,Chapter_3_function,COPY_MODEL_BOUNDARY,"Strict factorial programmes falsify universal pollinator dominance and universal antagonist dominance; focal Cirsium dominance remains unknown."
D16,RESTRICTED_MODEL_NOT_IDENTIFIED,NOT_A_GENERAL_BIOLOGICAL_NEGATIVE,Chapter_3_function,COPY_MEASUREMENT_REQUIREMENT,"Six articles do not identify a universal functional-class hierarchy; low k and heterogeneous traits require local leverage measurements."
D17,STRICT_BROAD_MODERATOR_WEAKENED,RESTRICTED_TRUE_NEGATIVE,Chapter_3_function,COPY_DESIGN_GATE,"Zero of five broad abiotic comparisons supports one monotonic moderator while demographic gates receive 3 of 4 support."
D18,OTHER_ESTIMAND_WORKING,NOT_NEGATIVE,Chapter_3_function,COPY_BOUNDED_PRIOR,"Display trade-off evidence motivates joint mutualist-antagonist measurement but supplies no universal effect."
D19,FROZEN_MODEL_SET_INADEQUATE,TRUE_NEGATIVE_FOR_DECLARED_MODEL_SET,Chapter_1,DO_NOT_MIGRATE,"No v3.1 family meets absolute adequacy; this falsifies the declared generator set only."
D20,RELATIVE_SIMULATION_WINNER_ONLY,NOT_A_BIOLOGICAL_RESULT,Chapter_1,DO_NOT_MIGRATE,"NULL_COUPLED is the relative 62-target winner among 14 frozen families but is not a true null or causal model."
D21,FROZEN_GENERATOR_FALSIFIED_ON_HELDOUT,TRUE_NEGATIVE_FOR_FROZEN_GENERATOR,Chapter_1,DO_NOT_MIGRATE,"NULL_COUPLED reproduces the held-out primary support pattern in 0 of 64 draws."
D22,DIRECTIONAL_DIAGNOSTIC_INADEQUATE,TRUE_NEGATIVE_FOR_DECLARED_DIAGNOSTIC_SET,Chapter_1,DO_NOT_MIGRATE,"Among-only process structure improves 22 of 24 paired draws but no candidate meets adequacy."
D23,PROVISIONAL_UNVALIDATED,NO_CANONICAL_RESULT,Chapter_1_or_thesis,DO_NOT_MIGRATE,"The scale-specific covariance contract is frozen but the reported v4.1 outcome remains provisional without independent held-out validation."
D24,PLANNED_NOT_RESULT,NO_RESULT,Chapter_3_function,DESIGN_ONLY,"Geographic function meta-regression is not a completed analysis."
D25,PLANNED_NOT_RESULT,NO_RESULT,Chapter_3_explanatory,DESIGN_ONLY,"Trait-niche history extension cannot identify causation before linked trait histories exist."
D26,PLANNED_NOT_RESULT,NO_RESULT,Later_synthesis,DO_NOT_MIGRATE,"Functional disparity through time depends on unvalidated literature-derived loadings."
D27,NOT_EVALUABLE_MISSING_DATED_ENSEMBLE,NO_RESULT,Later_synthesis,DO_NOT_MIGRATE,"Ecological-event correspondence requires defensible absolute timing."
D28,PLANNED_NOT_RESULT,NO_RESULT,Later_synthesis,REFERENCE_ONLY,"FDT7 is a future evolutionary simulation and must not manufacture the empirical histories it would test."
D29,TECHNICAL_DESIGN_READY_SCIENCE_UNRUN,NO_SCIENTIFIC_RESULT,Chapter_3_experiment,COPY_FAIL_CLOSED_PROTOCOL,"FDT8 identifies discriminating experiments but technical readiness is not field authorization or function evidence."
D30,NEW_LINKED_DATA_REQUIRED,NO_RESULT,Chapter_3_history,COPY_SAMPLING_CONTRACT,"Population nuclear ancestry plus plastid and cytotype are required to distinguish retention, independent origin, ancestral sorting and introgression."
D31,FROZEN_TEST_FAIL_BIOLOGY_UNIDENTIFIED,NOT_A_BIOLOGICAL_NEGATIVE,Chapter_2_audit,REFERENCE_ONLY,"P=0.3504 shows no excess over reconstruction geometry in the frozen panel; it does not establish independence."
D32,FROZEN_SENSITIVITY_FAIL_BIOLOGY_UNIDENTIFIED,NOT_A_BIOLOGICAL_NEGATIVE,Chapter_2_audit,REFERENCE_ONLY,"JPN29-excluded P=0.1959 is a provenance sensitivity and cannot rescue or prove absence."
D33,BIOLOGY_NOT_IDENTIFIABLE_CURRENT_RESOLUTION,NOT_A_BIOLOGICAL_NEGATIVE,Chapter_2,COPY_UNCERTAINTY_AND_DISCRIMINATOR,"Current data do not require one persistent module but cannot distinguish independence from unlinked observation and topology limits."
D34,CERTAIN_TOPOLOGY_CONDITIONAL_DEPTH_ENVELOPE,NOT_NEGATIVE,Chapter_2,COPY_SUMMARY_PROVENANCE_AND_FALSIFIER,"Exact envelopes over all minimum histories show trait-specific relative lineage-depth resolution; the metric is topology-only and the old localization fractions are restricted to their superseded run-328 artifact."
