record_id,paper_japan_member_id,taxon_concept,trait_id,value,unit,source_type,source_locator,rights_status,measurement_protocol,admission_status,exclusion_reason,tip_id,region,source_name,source_evidence_note,claim_boundary
NATIVE_cirsium_japonicum_var_albescens__measured_capitulum_width_cm,,Cirsium japonicum var. albescens,measured_capitulum_width_cm,1.36,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_albescens,Taiwan,Chang et al. 2026 comparative morphology,Capitulum 2.66 +/- 0.60 x 1.36 +/- 0.32 cm,Direct measured capitulum size; not plant-level head number
NATIVE_cirsium_japonicum_var_albescens__phyllary_length_cm,,Cirsium japonicum var. albescens,phyllary_length_cm,1.713,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_albescens,Taiwan,Chang et al. 2026 comparative morphology,Phyllary size 17.13 +/- 4.38 mm; protrusion 5.54 +/- 1.40 mm; inner:outer ratio 1.34 +/- 0.12,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_japonicum_var_albescens__phyllary_protrusion_mm,,Cirsium japonicum var. albescens,phyllary_protrusion_mm,5.54,mm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_albescens,Taiwan,Chang et al. 2026 comparative morphology,Phyllary size 17.13 +/- 4.38 mm; protrusion 5.54 +/- 1.40 mm; inner:outer ratio 1.34 +/- 0.12,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_japonicum_var_australe__inner_outer_length_ratio,,Cirsium japonicum var. australe,inner_outer_length_ratio,1.82,ratio,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_australe,Taiwan,Chang et al. 2026 comparative morphology,Phyllary length 1.09 +/- 0.26 cm; protrusion 2.49 +/- 0.54 mm; inner:outer ratio 1.82 +/- 0.06,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_japonicum_var_australe__measured_capitulum_length_cm,,Cirsium japonicum var. australe,measured_capitulum_length_cm,3.51,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_australe,Taiwan,Chang et al. 2026 comparative morphology,Capitulum 3.51 +/- 0.82 x 1.56 +/- 0.55 cm; older Flora of Taiwan treatment reports heads 4-5 cm across,Use directly measured comparative value for cross-taxon size screen; not total plant display or fitness
NATIVE_cirsium_japonicum_var_australe__measured_capitulum_width_cm,,Cirsium japonicum var. australe,measured_capitulum_width_cm,1.56,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_australe,Taiwan,Chang et al. 2026 comparative morphology,Capitulum 3.51 +/- 0.82 x 1.56 +/- 0.55 cm; older Flora of Taiwan treatment reports heads 4-5 cm across,Use directly measured comparative value for cross-taxon size screen; not total plant display or fitness
NATIVE_cirsium_japonicum_var_australe__phyllary_length_cm,,Cirsium japonicum var. australe,phyllary_length_cm,1.09,cm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_australe,Taiwan,Chang et al. 2026 comparative morphology,Phyllary length 1.09 +/- 0.26 cm; protrusion 2.49 +/- 0.54 mm; inner:outer ratio 1.82 +/- 0.06,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_japonicum_var_australe__phyllary_protrusion_mm,,Cirsium japonicum var. australe,phyllary_protrusion_mm,2.49,mm,primary_comparative_morphology,https://doi.org/10.1186/s12870-026-08097-6,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_japonicum_var_australe,Taiwan,Chang et al. 2026 comparative morphology,Phyllary length 1.09 +/- 0.26 cm; protrusion 2.49 +/- 0.54 mm; inner:outer ratio 1.82 +/- 0.06,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_japonicum_var_fukienense__involucre_length_cm,,Cirsium japonicum var. fukienense,involucre_length_cm,3.0-5.0,cm,primary_taxonomic_treatment,https://www.researchgate.net/publication/335202385_Cirsium_japonicum_DC_var_fukienense_Kitam_Compositae_a_newly_recorded_taxon_of_Taiwan_and_its_western_outlying_islands,citation_only_no_media_ingested,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_japonicum_var_fukienense,Taiwan,Chang and Tseng 2019 taxon treatment,Involucre 3.0-5.0 x 2.1-2.5 cm; original type context cited capitula 2.1 cm diameter,Direct botanical size; do not merge historical diameter with current involucre dimensions
NATIVE_cirsium_japonicum_var_fukienense__involucre_width_cm,,Cirsium japonicum var. fukienense,involucre_width_cm,2.1-2.5,cm,primary_taxonomic_treatment,https://www.researchgate.net/publication/335202385_Cirsium_japonicum_DC_var_fukienense_Kitam_Compositae_a_newly_recorded_taxon_of_Taiwan_and_its_western_outlying_islands,citation_only_no_media_ingested,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_japonicum_var_fukienense,Taiwan,Chang and Tseng 2019 taxon treatment,Involucre 3.0-5.0 x 2.1-2.5 cm; original type context cited capitula 2.1 cm diameter,Direct botanical size; do not merge historical diameter with current involucre dimensions
NATIVE_cirsium_kamtschaticum__involucre_live_diameter_cm,JPN_37,Cirsium kamtschaticum,involucre_live_diameter_cm,1.2-2.0,cm,national_museum_taxonomic_authority,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,public_web_authority_numeric_fact_citation_required,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_kamtschaticum,Japan,NMNS Japanese Cirsium database,Involucre bowl/campanulate/cylindric; live diameter 12-20 mm; nonsticky,Direct Japanese authority size; not total plant display or fitness
NATIVE_cirsium_kawakamii__measured_capitulum_length_cm,,Cirsium kawakamii,measured_capitulum_length_cm,4.78,cm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_kawakamii,Taiwan,Tseng et al. 2025 comparative morphology,Capitulum 4.78 +/- 0.98 x 2.03 +/- 0.25 cm; older flora reports heads 4-4.5 cm across,Direct measured capitulum size; not simultaneous head count
NATIVE_cirsium_kawakamii__measured_capitulum_width_cm,,Cirsium kawakamii,measured_capitulum_width_cm,2.03,cm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_kawakamii,Taiwan,Tseng et al. 2025 comparative morphology,Capitulum 4.78 +/- 0.98 x 2.03 +/- 0.25 cm; older flora reports heads 4-4.5 cm across,Direct measured capitulum size; not simultaneous head count
NATIVE_cirsium_kawakamii__phyllary_length_cm,,Cirsium kawakamii,phyllary_length_cm,1.80,cm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_kawakamii,Taiwan,Tseng et al. 2025 comparative morphology,Phyllary length 1.80 +/- 0.04 cm; protrusion 1.29 +/- 0.93 mm; number 99 +/- 21,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_kawakamii__phyllary_number,,Cirsium kawakamii,phyllary_number,99,count,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_kawakamii,Taiwan,Tseng et al. 2025 comparative morphology,Phyllary length 1.80 +/- 0.04 cm; protrusion 1.29 +/- 0.93 mm; number 99 +/- 21,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_kawakamii__phyllary_protrusion_mm,,Cirsium kawakamii,phyllary_protrusion_mm,1.29,mm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_kawakamii,Taiwan,Tseng et al. 2025 comparative morphology,Phyllary length 1.80 +/- 0.04 cm; protrusion 1.29 +/- 0.93 mm; number 99 +/- 21,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_morii__involucre_length_cm,,Cirsium morii,involucre_length_cm,2.2-2.6,cm,digital_flora,https://www.efloras.org/florataxon.aspx?flora_id=100&taxon_id=242313149,public_web_flora_numeric_fact_citation_required,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_morii,Taiwan,Flora of Taiwan 2nd ed.,Heads terminal; involucre campanulate 2.2-2.6 x 2.6-3.0 cm,Direct botanical involucre size; not total plant display or fitness
NATIVE_cirsium_morii__involucre_width_cm,,Cirsium morii,involucre_width_cm,2.6-3.0,cm,digital_flora,https://www.efloras.org/florataxon.aspx?flora_id=100&taxon_id=242313149,public_web_flora_numeric_fact_citation_required,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_morii,Taiwan,Flora of Taiwan 2nd ed.,Heads terminal; involucre campanulate 2.2-2.6 x 2.6-3.0 cm,Direct botanical involucre size; not total plant display or fitness
NATIVE_cirsium_nippoense__involucre_live_diameter_cm,JPN_19,Cirsium nippoense,involucre_live_diameter_cm,1.5-2.0,cm,national_museum_taxonomic_authority,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=110,public_web_authority_numeric_fact_citation_required,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_nippoense,Japan,NMNS Japanese Cirsium database,Involucre campanulate to bowl-shaped; live diameter 15-20 mm; many heads in panicle,Direct botanical involucre size; qualitative head-number architecture retained separately
NATIVE_cirsium_pengii__measured_capitulum_length_cm,,Cirsium pengii,measured_capitulum_length_cm,2.64,cm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_pengii,Taiwan,Tseng et al. 2025 comparative morphology,Capitulum 2.64 +/- 0.38 x 1.15 +/- 0.04 cm,Direct measured capitulum size; not plant-level head number
NATIVE_cirsium_pengii__measured_capitulum_width_cm,,Cirsium pengii,measured_capitulum_width_cm,1.15,cm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_pengii,Taiwan,Tseng et al. 2025 comparative morphology,Capitulum 2.64 +/- 0.38 x 1.15 +/- 0.04 cm,Direct measured capitulum size; not plant-level head number
NATIVE_cirsium_pengii__phyllary_length_cm,,Cirsium pengii,phyllary_length_cm,0.78,cm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_pengii,Taiwan,Tseng et al. 2025 comparative morphology,Phyllary length 0.78 +/- 0.13 cm; protrusion 0.51 +/- 0.09 mm; number 113 +/- 2,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_pengii__phyllary_number,,Cirsium pengii,phyllary_number,113,count,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_pengii,Taiwan,Tseng et al. 2025 comparative morphology,Phyllary length 0.78 +/- 0.13 cm; protrusion 0.51 +/- 0.09 mm; number 113 +/- 2,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_pengii__phyllary_protrusion_mm,,Cirsium pengii,phyllary_protrusion_mm,0.51,mm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_pengii,Taiwan,Tseng et al. 2025 comparative morphology,Phyllary length 0.78 +/- 0.13 cm; protrusion 0.51 +/- 0.09 mm; number 113 +/- 2,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_suffultum__involucre_live_diameter_cm,,Cirsium suffultum,involucre_live_diameter_cm,0.6-1.3,cm,national_museum_taxonomic_authority,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=90,public_web_authority_numeric_fact_citation_required,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_suffultum,Japan,NMNS Japanese Cirsium database,Involucre bowl/broad-campanulate/campanulate; live diameter 6-13 mm,Direct botanical involucre size; sexual morph size difference noted by source and should be population-level sensitivity
NATIVE_cirsium_tatakaense__measured_capitulum_length_cm,,Cirsium tatakaense,measured_capitulum_length_cm,4.82,cm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_tatakaense,Taiwan,Tseng et al. 2025 comparative morphology,Capitulum 4.82 +/- 1.73 x 2.17 +/- 0.70 cm,Direct measured capitulum size; not simultaneous head count
NATIVE_cirsium_tatakaense__measured_capitulum_width_cm,,Cirsium tatakaense,measured_capitulum_width_cm,2.17,cm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_tatakaense,Taiwan,Tseng et al. 2025 comparative morphology,Capitulum 4.82 +/- 1.73 x 2.17 +/- 0.70 cm,Direct measured capitulum size; not simultaneous head count
NATIVE_cirsium_tatakaense__phyllary_length_cm,,Cirsium tatakaense,phyllary_length_cm,1.04,cm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_tatakaense,Taiwan,Tseng et al. 2025 comparative morphology,Phyllary length 1.04 +/- 0.35 cm; protrusion 0.68 +/- 0.30 mm; number 154 +/- 32,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_tatakaense__phyllary_number,,Cirsium tatakaense,phyllary_number,154,count,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_tatakaense,Taiwan,Tseng et al. 2025 comparative morphology,Phyllary length 1.04 +/- 0.35 cm; protrusion 0.68 +/- 0.30 mm; number 154 +/- 32,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_tatakaense__phyllary_protrusion_mm,,Cirsium tatakaense,phyllary_protrusion_mm,0.68,mm,primary_comparative_morphology,https://doi.org/10.1186/s40529-025-00454-2,open_access_article_numeric_fact_citation_required,source_reported_direct_point_estimate_no_remeasurement,admitted_comparable_scalar,,Cirsium_tatakaense,Taiwan,Tseng et al. 2025 comparative morphology,Phyllary length 1.04 +/- 0.35 cm; protrusion 0.68 +/- 0.30 mm; number 154 +/- 32,Direct comparative morphology; ecological defence function not inferred
NATIVE_cirsium_yezoense__involucre_live_diameter_cm,JPN_30,Cirsium yezoense,involucre_live_diameter_cm,1.4-2.0,cm,national_museum_taxonomic_authority,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=60,public_web_authority_numeric_fact_citation_required,source_reported_range_preserved_verbatim_no_midpoint,context_only_range_not_scalar,range_not_collapsed_to_midpoint,Cirsium_yezoense,Japan,NMNS Japanese Cirsium database,Involucre bowl-shaped; live diameter 14-20 mm; nonsticky,Direct botanical involucre size; not total plant display or fitness
