channel,family,environment_mode,scale_coefficient_architecture,residual_architecture,median,q25,q75,min,max,median_rank,mean_rank,rank1_count,median_loss_structure,median_loss_environment_block_r2,median_loss_environment_geometry,median_loss_environment_incremental,median_order_rank
primary,PROCESS_BOTH_SHARED_COUPLED,PROCESS_BOTH,SHARED,COUPLED,23.749069352263692,19.50943072085696,27.702266444351665,15.942391649630043,31.199378317325234,10.5,10.1875,0,68.36082064946741,9.709810906745476,12.024466868648515,5.323611042179552,11.0
primary,PROCESS_BOTH_INDEPENDENT_MODULAR,PROCESS_BOTH,INDEPENDENT,MODULAR,23.966956367566226,21.767472988935523,28.03565854470427,17.998390305166517,33.05432503141679,10.5,10.3125,0,78.00155975764994,8.325090326669024,4.884758732186518,5.73106153100401,12.0
primary,NULL_MODULAR,NONE,SHARED,MODULAR,25.244858486260117,24.766150513077815,25.735222844646465,21.573998215077154,28.602946588911188,12.0,10.875,0,97.87061068726985,0.16723075294930978,3.0529844887085975,0.4595462910592203,13.0
primary,PROCESS_BOTH_SHARED_MODULAR,PROCESS_BOTH,SHARED,MODULAR,27.324769095764374,21.992382344082017,28.38626991131149,15.449253637126978,34.23394438446898,12.5,11.625,0,81.69390920920176,9.264659609135972,12.331877992963339,5.486720874869485,14.0
replication_sensitivity,NULL_COUPLED,NONE,SHARED,COUPLED,2.066146017373077,1.6715621596370338,2.440168155819849,1.2995692982935965,3.1866347243574915,1.0,1.0,16,3.071708442778721,0.16404503019420244,4.160638241277118,0.17382532873281198,1.0
replication_sensitivity,CORE4_INDEPENDENT_COUPLED,CORE4,INDEPENDENT,COUPLED,14.071926711425752,12.651719156875101,16.135942404014646,8.572427247616442,19.67861769880689,2.0,2.5625,0,45.63696919936167,6.2114983138233875,2.9660937766596587,0.18422886481931222,2.0
replication_sensitivity,PROCESS_AMONG_ONLY_INDEPENDENT_COUPLED,PROCESS_AMONG_ONLY,INDEPENDENT,COUPLED,16.85721310934965,14.375125191980247,18.69166752267166,9.943395395047133,27.975078594214807,4.0,4.5625,0,56.53586652505598,6.822572640865383,3.4132667455467374,1.1441784518903182,3.0
replication_sensitivity,CORE4_SHARED_COUPLED,CORE4,SHARED,COUPLED,17.81015210433042,14.500916768771456,23.403834781422795,11.843040220633313,27.82433163553435,5.0,5.125,0,52.49472937490482,6.594060601001132,13.266253387011904,0.1675893064985949,4.0
replication_sensitivity,PROCESS_BOTH_INDEPENDENT_COUPLED,PROCESS_BOTH,INDEPENDENT,COUPLED,20.30526077891924,17.656568366717096,26.128823895969195,13.513662174677885,31.36119425192542,6.0,6.75,0,65.46917136559466,7.575112761458402,3.801507969544561,5.674918198933071,5.0
replication_sensitivity,PROCESS_AMONG_ONLY_SHARED_COUPLED,PROCESS_AMONG_ONLY,SHARED,COUPLED,20.84151379676309,16.0678712250391,25.048422285999465,10.574154012208764,31.062127659481366,6.5,6.625,0,68.94982264605054,8.09408567762696,9.43756446888925,0.9181046511106622,6.0
replication_sensitivity,CORE4_INDEPENDENT_MODULAR,CORE4,INDEPENDENT,MODULAR,24.621833867456523,21.72491550449027,26.4718649626849,16.73370960901443,29.54249586228982,8.0,8.5,0,89.36091249743768,6.350733826562509,3.828928675205028,0.15868963910143324,7.0
replication_sensitivity,PROCESS_AMONG_ONLY_INDEPENDENT_MODULAR,PROCESS_AMONG_ONLY,INDEPENDENT,MODULAR,24.63376599560518,23.01937232638366,26.08714953992611,16.90286541924941,30.363987275437694,8.0,8.5,0,88.39570227032343,6.9384011817455455,3.0651831587774936,1.1010551275752336,8.0
replication_sensitivity,PROCESS_AMONG_ONLY_SHARED_MODULAR,PROCESS_AMONG_ONLY,SHARED,MODULAR,24.685796066602077,20.922653876140693,26.997425119870485,13.659423872963265,30.19396217385442,9.0,8.625,0,82.18137002249492,8.150639736384417,9.631792886419065,0.9248135662751852,9.0
replication_sensitivity,PROCESS_BOTH_INDEPENDENT_MODULAR,PROCESS_BOTH,INDEPENDENT,MODULAR,25.157196268037957,24.61720268354587,29.451615213773824,19.4209395516665,32.76743292814069,10.5,10.3125,0,86.09391217981549,7.336291983767653,3.5639032421350763,5.650581381660097,10.0
replication_sensitivity,CORE4_SHARED_MODULAR,CORE4,SHARED,MODULAR,25.248024122100947,21.63716268057457,27.357570332572177,13.487100198270415,30.488829822839975,10.0,8.8125,0,81.62634028775885,6.474525016932172,13.333518995614009,0.12694595440128711,11.0
replication_sensitivity,NULL_MODULAR,NONE,SHARED,MODULAR,26.467947877892342,26.19301720176727,27.38169317756651,24.312098240038615,29.21119487706913,11.5,10.8125,0,103.60996517424022,0.07467844007535018,2.2712715587933534,0.12384864853691527,12.0
replication_sensitivity,PROCESS_BOTH_SHARED_COUPLED,PROCESS_BOTH,SHARED,COUPLED,27.44600298529275,23.05923882935188,29.120864700333897,15.519089087513672,35.55291572584004,11.0,10.4375,0,85.10757642219245,8.699834420657858,12.375775981282173,5.326663344971271,13.0
replication_sensitivity,PROCESS_BOTH_SHARED_MODULAR,PROCESS_BOTH,SHARED,MODULAR,29.128540849570484,26.183624008716297,31.224748805708252,17.12823790471616,36.755215790568926,13.0,12.375,0,91.06195138868753,8.216363945393795,12.97064968805578,5.557373543484069,14.0
