paper_japan_member_id,paper_taxon_concept,tree_codes,biosamples,runs,sample_origin_class,sample_origin_detail,japan_distribution_evidence,paper_japan_membership_confidence,current_name_status,nuclear_coverage_status,chapter2_action,notes
JPN_11,Cirsium ishizuchiense (Kitam.) Kadota,Cirsium ishizuchiense,SAMN34240308,SRR25265691,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_12,Cirsium japonicum Fisch. ex DC. var. horridum Nakai,Cirsium japonicum,SAMN44017885,SRR30887271,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,Tree code and NCBI use broad C. japonicum while the published species column specifies var. horridum
JPN_13,Cirsium kasaianum Kadota,Cirsium kasaianum,SAMN44017866,SRR30887250,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_14,Cirsium kiotoense (Kitam.) Kadota,Cirsium kiotoense,SAMN44017868,SRR30887252,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,NCBI uses an informal Cirsium sp. identifier
JPN_15,Cirsium lineare (Thunb.) Sch.Bip.,Cirsium lineare,SAMN44017876,SRR30887240,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_16,Cirsium magofukui Kitam.,Cirsium magofukui,SAMN44017880,SRR30887169,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_17,Cirsium maritimum Makino,Cirsium maritimum,SAMN44017881,SRR30887168,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_18,Cirsium matsumurae Nakai var. dubium Kitam.,Cirsium matsumurae var. dubium,SAMN44017874,SRR30887241,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_19,Cirsium nippoense Kadota,Cirsium nippoense,SAMN44017888,SRR30887161,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,NCBI spelling is Cirsium nipponense
JPN_20,Cirsium nipponicum var. incomptum (Maxim.) Kadota,Cirsium tanakae|Cirsium tonense,SAMN44017932|SAMN44017937,SRR30887286|SRR30887291,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,Two tree codes collapse to one published taxon concept and must not be double-counted in the paper's Japan-38 reconciliation
JPN_21,Cirsium nipponicum var. yoshinoi (Nakai) Kitam.,Cirsium nipponicum var. yoshinoi,SAMN44017955,SRR30887222,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,NCBI name is Cirsium yuki-uenoanum
JPN_22,Cirsium norikurense Nakai,Cirsium norikurense,SAMN44017889,SRR30887160,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_23,Cirsium oligophyllum Matsum.,Cirsium oligophyllum,SAMN44017894,SRR30887154,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_24,Cirsium pseudosuffultum Kadota,Cirsium pseudosuffultum,SAMN44017901,SRR30887147,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_25,Cirsium shidokimontanum Kadota,Cirsium shidokimontanum,SAMN44017916,SRR30887309,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_26,Cirsium spicatum Matsum.,Cirsium spicatum,SAMN44017924,SRR30887300,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_27,Cirsium suzukaense Kitam.,Cirsium suzukaense,SAMN44017929,SRR30887298,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_28,Cirsium uzenense Kadota,Cirsium uzenense,SAMN44017943,SRR30887279,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_29,Cirsium verutum (D.Don) Spreng.,Cirsium verutum,SAMN44017947,SRR30887232,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,NCBI treats this sample as Lophiolepis veruta
JPN_30,Cirsium yezoense (Maxim.) Makino,Cirsium yezoense,SAMN44017952,SRR30887226,direct_Japan_sample_or_public_locality,Japan in supplement voucher and/or NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,high,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,join flower-colour evidence; no target capture for placement unless identity conflict remains,
JPN_31,Cirsium yuki-uenoanum Kadota,Cirsium yuki-uenoanum,SAMN44017949,SRR30887230,paper_japan_concept_metadata_conflict,Japan in supplement voucher but Ukraine in NCBI BioSample locality,Moreyra Supplementary Table S1 / PRJNA957074,low_until_manual_resolution,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,do not use as a clean Japanese tip until the voucher/BioSample conflict is resolved,NCBI name is Cirsium waldsteinii and geography is Ukraine
JPN_32,Cirsium buergeri Miq.,Cirsium buergeri,SAMN34240266,SRR25265611,cultivated_Japanese_taxon,Kyoto Botanical Garden,"Kahaku: Japanese endemic; Honshu (Shiga and Yamaguchi) and Kyushu",high,paper_concept_supported_as_Japanese_taxon,moreyra_sample_membership_verified,join flower-colour evidence; use population sequencing for morph or geographic history rather than species placement,
JPN_33,Cirsium effusum Matsm.,Cirsium effusum,SAMN34240286,SRR25265714,cultivated_Japanese_taxon_name_conflict,Tokyo Metropolitan Medicinal Plants Garden,"Japanese garden provenance; Kahaku shows that historical C. effusum usage is taxonomically problematic; NCBI name is C. pulchellum",medium,pending_authority_backed_reconciliation,moreyra_sample_membership_verified,retain as a paper taxon concept but do not join flower colour until name and voucher identity are resolved,
JPN_34,Cirsium microspicatum Nakai,Cirsium microspicatum,SAMN34240314,SRR25265684,cultivated_Japanese_taxon,Tokyo Metropolitan Medicinal Plants Garden,Kahaku: Japanese endemic; Honshu,high,paper_concept_supported_as_Japanese_taxon,moreyra_sample_membership_verified,join flower-colour evidence; use population sequencing for morph or geographic history rather than species placement,
JPN_35,Cirsium nipponicum Makino,Cirsium nipponicum,SAMN34240318,SRR25265660,cultivated_Japanese_taxon,Tokyo Metropolitan Medicinal Plants Garden,"Kahaku: northern Honshu (Aomori and Iwate); Japanese taxon",high,paper_concept_supported_as_Japanese_taxon,moreyra_sample_membership_verified,join flower-colour evidence; use population sequencing for morph or geographic history rather than species placement,Separate Korean genome and plastome resources do not replace Japanese population sampling
JPN_36,Cirsium sieboldii Miq.,Cirsium sieboldii,SAMN44017917,SRR30887308,cultivated_Japanese_taxon,Botanical Garden of Barcelona,Kahaku: Japanese endemic; Honshu and Shikoku,high,paper_concept_supported_as_Japanese_taxon,moreyra_sample_membership_verified,join white and coloured Japanese morph evidence plus Zhejiang bridge populations,
JPN_37,Cirsium kamtschaticum Ledeb. ex DC.,Cirsium kamtschaticum,SAMN44017865,SRR30887251,Japanese_distributed_taxon_sampled_outside_Japan,Russia Chukotka and Kamchatka,"POWO: native from Kamchatka to Japan (Hokkaido), Kurils, Sakhalin and Aleutians",high,paper_concept_supported_as_Japanese_taxon,moreyra_sample_membership_verified,retain as a continental or northern bridge and do not infer Japanese population history from this single Russian sample,
JPN_38,Cirsium pendulum Fisch. ex. DC.,Cirsium pendulum,SAMN34240327,SRR25265649,Japanese_distributed_taxon_sampled_outside_Japan,Russia Trans-Baikal Territory,"Kahaku: Honshu north of Nagano and Hokkaido, plus Korea, northeast China and Siberia",high,paper_concept_supported_as_Japanese_taxon,moreyra_sample_membership_verified,retain as a continental bridge; sample Japanese white and coloured populations for the Chapter 2 population analysis,
