supplement_row_number,tree_code,published_species,biosample,voucher_and_herbarium,sra_scientific_name,library_name,experiment,run,geographic_location,collection_date,latitude_longitude,supplement_region_class,sra_region_class,region_class,scope_class,geographic_evidence_relation,sra_link_status,tree_code_vs_sra_name,name_reconciliation_priority
104,Cirsium fargesii,Cirsium fargesii (Franch.) Diels,SAMN44017847,"China: Hubei province, 23.08.1973, E-Shennongjia Team, 22640 (PE01039705)",Cirsium fargesii,Cirsium_fargesii_PE237,SRX26291413,SRR30887183,China,2018-08-03,,China,China,China,core_east_asia,concordant,linked_runinfo,exact,low
110,Cirsium funagataense,Cirsium funagataense Kadota,SAMN44017850,"Japan. Honshu: Miyagi Pre.; Hatasaka camp site, on foot of Mt. Funagata-yama, Masuzawa, Tiwa-cho, Kurokawa-gun, 582 m. Yuki Ueno & Kazumi Fujikawa 210034, 27-09-2021",Cirsium funagataense,Cirsium_funagataense_FJ404,SRX26291417,SRR30887179,Japan: Honshu,2017-06-19,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
115,Cirsium glabrifolium,Cirsium glabrifolium (C.Winkl.) O.Fedtsch. & B.Fedtsch.,SAMN34240299,"China, Xinjiang Uygur Autonomous Region, 08.28.1957, Guan Kejian 3833 (PE) (PE 00455583)",Cirsium x glabrifolium,Cirsium-glabrifolium_PE236,SRX21011516,SRR25265701,China: Xinjiang Uygur Autonomous Region,1957-08-28,missing,China,China,China,core_east_asia,concordant,linked_runinfo,different_submitted_or_published_name,high
120,Cirsium gyojanum,Cirsium gyojanum Kitam.,SAMN34240301,"Japan, Shikoku, 10.25.2003, N. Inagaki, M. Matsumoto et al., FOK-062751 (MBK-0074805)",Cirsium gyojanum,Cirsium-gyojanum_FJ317,SRX21011518,SRR25265698,Japan: Shikoku,2003-10-25,missing,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
122,Cirsium handelii,Cirsium handelii Petr.,SAMN44017855,"China: Sichuan province, 06.08.1981, Qinghai-Tibet Team, 3359 (PE00455613)",Cirsium handelii,Cirsium_handelii_PE235,SRX26291422,SRR30887175,China,2021-09-28,,China,China,China,core_east_asia,concordant,linked_runinfo,exact,low
125,Cirsium henryi,Cirsium henryi (Franch.) Diels,SAMN44017857,"China: Yunnan province, 03.08.1081, Hengduan Mountain Team of Beijing Institute of Technology, 2464 (PE004555669)",Cirsium henryi,Cirsium_henryi_PE234,SRX26291424,SRR30887172,China,2005-08-14,,China,China,China,core_east_asia,concordant,linked_runinfo,exact,low
132,Cirsium interpositum,Cirsium griffithii Boiss.,SAMN44017859,"China: Yunnan province, T.T.YU 20032 (PE00455814)",Cirsium interpositum,Cirsium_interpositum_PE233,SRX26291427,SRR30887173,China,2021-12-10,,China,China,China,core_east_asia,concordant,linked_runinfo,exact,low
135,Cirsium ishidatense,"Cirsium ishidatense (Horiuchi) Kadota et Horiuchi, comb. ined.",SAMN44017861,"Japan. SHIKOKU: Ehime Pref.; Onogahara, Nomuracho, Seiyo-shi., 132°52′13″;33°28′28.28″, 26 Oct. 2016, Katsuya Nakahira & Yuki Tanabe FOS-011347 (MBK-0284717)",Cirsium sp. LM-2024b,Cirsium_ishidatense_FJ324,SRX26291344,SRR30887255,Japan: SHIKOKU,2002-06-27,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,different_submitted_or_published_name,high
136,Cirsium ishizuchiense,Cirsium ishizuchiense (Kitam.) Kadota,SAMN34240308,"Japan, Shikoku, 09.23.2004, A. Sakamoto and S. Kobayashi FOK-068791 (MBK-0093446)",Cirsium ishizuchiense,Cirsium-ishizuchiense_FJ319,SRX21011526,SRR25265691,Japan: Shikoku,2004-09-23,missing,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
139,Cirsium japonicum,Cirsium japonicum Fisch. ex DC. var. horridum Nakai,SAMN44017885,"SHIKOKU: Kochi Pref.; Mt. Kobiso-yama, Otoyo-cho, Nagaoka-gun., 133°52′;33°48′, 1500 m, 12 July 2004, N. Inagaki et al. FOK-067566 (MBK-0087486)",Cirsium japonicum,Cirsium_japonicum_FJ315,SRX26291327,SRR30887271,Japan,2008-04-09,,Other_or_unresolved,Japan,Japan,core_east_asia,sra_only,linked_runinfo,exact,low
141,Cirsium kamtschaticum,Cirsium kamtschaticum Ledeb. ex DC.,SAMN44017865,"Siberia: Chukotka & Kamchatka, 06.08.2017, Ivanova M., Tikhomirov N., Kopylov-Guskov Y., Volkova P. (MW0162816)",Cirsium kamtschaticum,Cirsium_kamtschaticum_MW161,SRX26291347,SRR30887251,Russia,2010-08-23,,Russian_Far_East,Russia_other,Russian_Far_East,northeast_asia_bridge,supplement_refines_sra_russia,linked_runinfo,exact,low
143,Cirsium kasaianum,Cirsium kasaianum Kadota,SAMN44017866,"Japan. Honshu: Miyagi Pre.; Mt. Otate-yama, Nagahata, Takatate Kawakami, Natori-shi, 71 m. Yuki Ueno & Kazumi Fujikawa 210039, 27-09-2021 (210039)",Cirsium kasaianum,Cirsium_kasaianum_FJ399,SRX26291348,SRR30887250,Japan: Honshu,2017-08-25,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
145,Cirsium kiotoense,Cirsium kiotoense (Kitam.) Kadota,SAMN44017868,"Japan. Honshu: Kyoto Pref., Kameoka-shi, Shino-cho, Karato-goe., 260 m, 15 Nov. 2007, T. Sawada, S. Yamamoto & T. Kakizaki994 (MBK-0217212)",Cirsium sp. LM-2024c,Cirsium_kiotoense_FJ333,SRX26291350,SRR30887252,Japan: Honshu,2017-08-25,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,different_submitted_or_published_name,high
154,Cirsium leo,Cirsium leo Nakai & Kitag.,SAMN34240310,"China, Henan Province, 09.06.1983, Plant Resource Expedition Team L0427 (PE) (PE 00456166)",Cirsium leo,Cirsium-leo_PE231,SRX21011528,SRR25265689,China: Henan Province,1983-09-06,missing,China,China,China,core_east_asia,concordant,linked_runinfo,exact,low
161,Cirsium lineare,Cirsium lineare (Thunb.) Sch.Bip.,SAMN44017876,"Japan, 09.09.1984, Miyoshi Furuse 52881 (PE01293160)",Cirsium lineare,Cirsium_lineare_PE229,SRX26291359,SRR30887240,Japan,2013-07-23,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
163,Cirsium maackii,Cirsium maackii Maxim.,SAMN34240313,"Russia, Primorskiy territory, 04.07.1991, S.Kharkevich, T.Buch (MW0150586)",Cirsium japonicum var. maackii,Cirsium-maackii_MW159,SRX21011532,SRR25265685,Russia: Primorskiy territory,1991-04-07,missing,Russian_Far_East,Russian_Far_East,Russian_Far_East,northeast_asia_bridge,concordant,linked_runinfo,different_submitted_or_published_name,high
166,Cirsium magofukui,Cirsium magofukui Kitam.,SAMN44017880,"Japan. Honshu: Fukui Pref., Nanjo-gun, Minamiechizen-cho, Seto, along Tsuka Forest Road., 136°20'25'';35°47'43'', 460-470 m, 15 Oct. 2010, K. Yonekura & E. Hayasaka17704 (MBK-0262691)",Cirsium magofukui,Cirsium_magofukui_FJ316,SRX26291428,SRR30887169,Japan: Honshu,1984-07-26,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
167,Cirsium maritimum,Cirsium maritimum Makino,SAMN44017881,"Japan. Shikoku: Kochi Pref.; Murotomisaki-cho, Muroto-shi, 8m. Yuki Ueno & Kazumi Fujikawa 210091, 20-10-2021 (MBK-210091)",Cirsium maritimum,Cirsium_maritimum_FJ406,SRX26291429,SRR30887168,Japan: Shikoku,1965-07-11,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
168,Cirsium matsumurae var. dubium,Cirsium matsumurae Nakai var. dubium Kitam.,SAMN44017874,"Japan. Honshu: Fukui Pref., Ono-shi, Hakogase., 136°44'45.1'';35°52'41.5'', 30 Sep. 2015, J. FujitaTCCN15-0321 (MBK-0285933)",Cirsium matsumurae var. dubium,Cirsium_leuconeurum_T2,SRX26291357,SRR30887241,Japan: Honshu,2022-02-10,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
172,Cirsium monocephalum,Cirsium monocephalum H.Lév.,SAMN44017884,"China: Guizhou province, 05.10.1986, Sino-American Guizhou Botanicai Expedition 2075 (PE00456362)",Cirsium monocephalum,Cirsium_monocephalum_PE228,SRX26291432,SRR30887166,China,2009-09-17,,China,China,China,core_east_asia,concordant,linked_runinfo,exact,low
178,Cirsium nippoense,Cirsium nippoense Kadota,SAMN44017888,"Japan. Honshu: Miyagi Pre.; Yajiroukita, Fukuoka Yatsumiya, Shiroishi-shi, 369 m., Yuki Ueno & Kazumi Fujikawa 210064, 28-09-2021",Cirsium nipponense,Cirsium_nippoense_FJ401,SRX26291436,SRR30887161,Japan: Honshu,2009-10-05,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,different_submitted_or_published_name,high
180,Cirsium norikurense,Cirsium norikurense Nakai,SAMN44017889,"Japan. HONSHU: Nagano Pref.; Norikura Highland, Azumi-mura, Minamiazumi-gun., 26 Aug. 2016, Takeo Kuramata Y20160826-38 (MBK-0304831)",Cirsium norikurense,Cirsium_norikurense_FJ313,SRX26291437,SRR30887160,Japan: HONSHU,2021-09-27,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
189,Cirsium oligophyllum,Cirsium oligophyllum Matsum.,SAMN44017894,"Japan. Honshu: Tokyo, Machida-shi, Shimo-oyamada, Takizawa., 139.421645-139.419199;35.594955-35.592826, 80-100 m, 22 Sep. 2015, T. Miyazaki1509126 (MBK-0276173)",Cirsium oligophyllum,Cirsium_oligophyllum_FJ332,SRX26291443,SRR30887154,Japan: Honshu,1982-10-15,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
195,Cirsium pendulum,Cirsium pendulum Fisch. ex. DC.,SAMN34240327,"Russia, Trans-Baikal Territory, 07.22.2011, N.S. Gamova, S.V. Dudov, No. 11 0183 (MW0150574)",Cirsium pendulum,Cirsium-pendulum_MW157,SRX21011568,SRR25265649,Russia: Trans-Baikal Territory,2011-07-22,missing,Russian_Inner_NE_Asia,Russian_Inner_NE_Asia,Russian_Inner_NE_Asia,northeast_asia_bridge,concordant,linked_runinfo,exact,low
203,Cirsium pseudosuffultum,Cirsium pseudosuffultum Kadota,SAMN44017901,"Japan. SHIKOKU: Kochi Pref.; Kujukumagari Pass, Yusuhara-cho, Takaoka-gun., 132°51′;33°23′, 25 Oct. 2012, Yuki Tanabe, Katsuya Nakahira, Prachaya Srisanga, Mu Mu Aung & Tin Tin MuFOS-003612 (MBK-0241068)",Cirsium pseudosuffultum,Cirsium_pseudosuffultum_FJ311,SRX26291451,SRR30887147,Japan: SHIKOKU,1963-07-23,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
219,Cirsium komarovii subsp. schischkinii,Cirsium komarovii subsp. schischkinii (Serg.) O.S.Zhirova,SAMN34240335,"Russia, Tuva, 07.12.1988, Shaulo D., Tyrtyk-Ool A., Bazyr V. (MW0150524)",Cirsium komarovii subsp. schischkinii,Cirsium-schischkinii_MW155,SRX21011577,SRR25265640,Russia: Tuva,1988-07-12,missing,Russian_Inner_NE_Asia,Russian_Inner_NE_Asia,Russian_Inner_NE_Asia,northeast_asia_bridge,concordant,linked_runinfo,exact,low
224,Cirsium serratuloides,Cirsium serratuloides (L.) Hill,SAMN34240336,"Republic of Buryatia, Mukhorshibirsky district. Abramova L., Volkova P., Zakharchenko,D., Borisova P., 27-7-2013. (MW0150495)",Cirsium serratuloides,Cirsium-serratuloides_MW154,SRX21011578,SRR25265643,Russia: Mukhorshibirsky district,2013-07-27,missing,Russian_Inner_NE_Asia,Russia_other,Russian_Inner_NE_Asia,northeast_asia_bridge,supplement_refines_sra_russia,linked_runinfo,exact,low
226,Cirsium shidokimontanum,Cirsium shidokimontanum Kadota,SAMN44017916,"Japan. Honshu: Fukushima Pref., Hagashishirakawa-gun, Furudono-machi, Mt. Mikabuyama., ca. 640 m, 5 Oct. 2009, Y. Yuzawa24175 (MBK-0219984)",Cirsium shidokimontanum,Cirsium_shidokimontanum_FJ338,SRX26291289,SRR30887309,Japan: Honshu,2017-08-06,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
239,Cirsium spicatum,Cirsium spicatum Matsum.,SAMN44017924,"Japan. SHIKOKU: Kochi Pref.; Omodani, Shimagawa, Yusuhara-cho, Takaoka-gun., 132°53′;33°28′, 950 m, 25 Sep. 2005, S. Kobayashi FOK-074366 (MBK-0129300)",Cirsium spicatum,Cirsium_spicatum_FJ330,SRX26291298,SRR30887300,Japan: SHIKOKU,2007-07-21,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
246,Cirsium subulariforme,Cirsium subulariforme C.Shih,SAMN44017928,"China: Tibet, 13.07.1980, Ni Zhicheng, Wang Yongze, Ciduo, Cidan 0628 (PE00457336)",Lophiolepis subulariformis,Cirsium_subulariforme_PE225,SRX26291302,SRR30887295,China,Unknown,,China,China,China,core_east_asia,concordant,linked_runinfo,different_submitted_or_published_name,high
247,Cirsium suzukaense,Cirsium suzukaense Kitam.,SAMN44017929,"Japan. Honshu: Mie Pref., Suzuka Mountains, Ishigure-toge, Daian-cho, Inabe-gun., 136°26'30'';35°06'30'', 670 m, 22 Sep. 2007, S. Fujii12905",Cirsium suzukaense,Cirsium_suzukaense_FJ329,SRX26291303,SRR30887298,Japan: Honshu,2016-08-10,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
250,Cirsium tanakae,Cirsium nipponicum var. incomptum (Maxim.) Kadota,SAMN44017932,"Tokyo Metropolitan Medicinal Plants Garden 401, 2002 (TOKMM Cod.S 1903)",Cirsium tanakae,Cirsium_tanakae_271,SRX26291307,SRR30887291,Japan,1947-09-07,,Other_or_unresolved,Japan,Japan,core_east_asia,sra_only,linked_runinfo,exact,low
252,Cirsium shihianum,Cirsium shihianum Greuter,SAMN34240346,"China, Xinjiang Uygur Autonomous Region, 1974, Lin Yourun 74-1237 (PE) (PE 00457341)",Cirsium shihianum,Cirsium-tenuifolium_PE298,SRX21011547,SRR25265670,China: Xinjiang Uygur Autonomous Region,1974,missing,China,China,China,core_east_asia,concordant,linked_runinfo,exact,low
256,Cirsium abukumense,Cirsium abukumense Kadota,SAMN44017936,"Japan. Honshu: Miyagi Pre.; Furuta, Hippo, Marumori-cho, Igu-gun, 372 m., Yuki Ueno & Kazumi Fujikawa 210074, 27-09-2021",Cirsium abukumense,Cirsium_matsumurae_vardubiumFJ314,SRX26291430,SRR30887236,Japan: Honshu,2008-08-31,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
256,Cirsium abukumense,Cirsium abukumense Kadota,SAMN44017936,"Japan. Honshu: Miyagi Pre.; Furuta, Hippo, Marumori-cho, Igu-gun, 372 m., Yuki Ueno & Kazumi Fujikawa 210074, 27-09-2021",Cirsium abukumense,Cirsium_tonense_abukumenseFJ400,SRX26291311,SRR30887287,Japan: Honshu,2008-08-31,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
257,Cirsium tonense,Cirsium nipponicum var. incomptum (Maxim.) Kadota,SAMN44017937,"Japan. Honshu: Miyagi Pre.; Ogaya, Shichikashuku-machi, Karita-gun, 422 m. Yuki Ueno & Kazumi Fujikawa 210052, 28-09-2021",Cirsium nipponicum var. incomptum,Cirsium_tonense_FJ403,SRX26291312,SRR30887286,Japan: Honshu,2002-08-23,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,different_submitted_or_published_name,high
266,Cirsium uzenense,Cirsium uzenense Kadota,SAMN44017943,"Japan. Honshu: Miyagi Pre.; Obukazawa, Shichikashuku-machi, Karita-gun, 721 m. Yuki Ueno & Kazumi Fujikawa 210062, 28-09-2021",Cirsium uzenense,Cirsium_uzenense_FJ402,SRX26291319,SRR30887279,Japan: Honshu,2002-08-14,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
270,Cirsium verutum,Cirsium verutum (D.Don) Spreng.,SAMN44017947,"Japan: 16.05.2001, K. Yonekura 6788 (PE01523822)",Lophiolepis veruta,Cirsium_verutum_PE223,SRX26291365,SRR30887232,Japan,1976-11-09,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,different_submitted_or_published_name,high
272,Cirsium vlassovianum,Cirsium vlassovianum Fisch. ex. DC.,SAMN34240350,"Mongolia, Western spurs of Bolshaya Khingan, 08.08.1991, A. Gubanov, Sh. Dariimaa 61152 (MW0194150)",Cirsium vlassovianum,Cirsium-vlassovianum_MW191,SRX21011551,SRR25265666,Mongolia: Western spurs of Bolshaya Khingan,1991-08-08,missing,Mongolia,Mongolia,Mongolia,northeast_asia_bridge,concordant,linked_runinfo,exact,low
282,Cirsium yezoense,Cirsium yezoense (Maxim.) Makino,SAMN44017952,"Japan. Honshu: Fukushima Pref., Iwaki-shi, Miwa-machi, Kumakura., ca. 400 m, 17 Sep. 2009, Y. Yuzawa24070 (MBK-0219925)",Cirsium yezoense,Cirsium_yezoense_FJ335,SRX26291371,SRR30887226,Japan: Honshu,2016-08-05,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,exact,low
284,Cirsium nipponicum var. yoshinoi,Cirsium nipponicum var. yoshinoi (Nakai) Kitam.,SAMN44017955,"Japan. Shikoku: Kochi Pref.; Kashigatou (pass), Nakaoi, Ino-cho, Agawa-gun, 705 m. Yuki Ueno & Kazumi Fujikawa 210089, 12-10-2021",Cirsium yuki-uenoanum,Cirsium_yukiuenoanum_FJ398,SRX26291374,SRR30887222,Japan: Honshu,2014-07-27,,Japan,Japan,Japan,core_east_asia,concordant,linked_runinfo,different_submitted_or_published_name,high
285,Cirsium yuki-uenoanum,Cirsium yuki-uenoanum Kadota,SAMN44017949,"Japan. Honshu: Miyagi Pre.; Mt. JiroTaro-yama, Kawatajima, Marumori-cho, Igu-gun, 285 m. Yuki Ueno & Kazumi Fujikawa 210073, 29-09-2021",Cirsium waldsteinii,Cirsium_waldsteinii_MW166,SRX26291367,SRR30887230,Ukraine,1986-10-05,,Japan,Outside_target_region,Japan|Outside_target_region,source_conflict_target_vs_outside,conflicting_resolved_regions,linked_runinfo,different_submitted_or_published_name,high
