accepted_taxon,region,subsection_or_group,flower_colour_state,ploidy_or_chromosome,transition_role,radseq_priority,moreyra_tip_status,moreyra_tree_codes,moreyra_biosamples,moreyra_runs,chang2025_sample_count,chang2025_bioprojects,chang2026_sample_count,chang2026_bioprojects,chang2026_morph_resolution,modern_nuclear_evidence_sources,best_species_level_nuclear_status,species_backbone_gap_class,population_or_morph_gap_class,recommended_next_data,evidence_note
Cirsium arisanense f. arisanense,Taiwan,Australicirsium,unknown,2n=34,phylogeny_gap,B,not_in_focal_moreyra_audit,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,not_primary_population_target,verify_synonyms_and_transition_value_before_target_capture,absence from these three sources is not proof of absence from all nuclear datasets
Cirsium arisanense f. purpurescens,Taiwan,Australicirsium,unknown,2n=34,phylogeny_gap,B,not_in_focal_moreyra_audit,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,not_primary_population_target,verify_synonyms_and_transition_value_before_target_capture,absence from these three sources is not proof of absence from all nuclear datasets
Cirsium dipsacolepis,Japan,Japanese radiation,unknown,,verified_separate_japan_lineage,B,exact_sra_project_tip_verified,Cirsium dipsacolepis,SAMN44017836,SRR30887259,0,,0,,,Moreyra2025_PRJNA957074,global_target_capture_tip_verified,species_placement_resolved_in_modern_nuclear_data,not_primary_population_target,reuse_existing_species_backbone_and_complete_trait_evidence,Moreyra Supplement S1 tip is linked to an exact PRJNA957074 scientific-name match
Cirsium domonii,Japan,Japanese radiation,unknown,,verified_japanese_backbone,B,exact_sra_project_tip_verified,Cirsium domonii,SAMN34240283,SRR25265717,0,,0,,,Moreyra2025_PRJNA957074,global_target_capture_tip_verified,species_placement_resolved_in_modern_nuclear_data,not_primary_population_target,reuse_existing_species_backbone_and_complete_trait_evidence,Moreyra Supplement S1 tip is linked to an exact PRJNA957074 scientific-name match
Cirsium ferum,Taiwan,Onotrophe_context,unknown,2n=34,phylogeny_gap,B,not_recovered_in_supplement_or_exact_runinfo,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,not_primary_population_target,verify_synonyms_and_transition_value_before_target_capture,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; absence from these three sources is not proof of absence from all nuclear datasets
Cirsium hosokawae,Taiwan,Onotrophe_context,unknown,2n=34,phylogeny_gap,B,not_recovered_in_supplement_or_exact_runinfo,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,not_primary_population_target,verify_synonyms_and_transition_value_before_target_capture,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; absence from these three sources is not proof of absence from all nuclear datasets
Cirsium japonicum var. spinissimum,Korea/Jeju,Cirsium_japonicum_context,coloured,2n=34 plus occasional B chromosomes,coloured_jeju_control,B,not_in_focal_moreyra_audit,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,not_primary_population_target,verify_synonyms_and_transition_value_before_target_capture,absence from these three sources is not proof of absence from all nuclear datasets
Cirsium kujuense,Japan,Nipponocirsium,bluish_purple,2n=4x=68,backbone_anchor,B,not_recovered_in_supplement_or_exact_runinfo,,,,1,PRJNA1158676,0,,,Chang2025_PRJNA1158676,phylotranscriptomic_local_backbone,species_placement_resolved_in_modern_nuclear_data,not_primary_population_target,reuse_existing_species_backbone_and_complete_trait_evidence,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2025 has 1 transcriptome sample(s)
Cirsium leducii,China,unassigned_seed,purplish_red,unknown,coloured_backbone_gap,B,not_in_focal_moreyra_audit,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,not_primary_population_target,verify_synonyms_and_transition_value_before_target_capture,absence from these three sources is not proof of absence from all nuclear datasets
Cirsium lineare,China/Japan/Taiwan,Spanioptilon,purplish_red_to_pink,2n=30 in Taiwan,coloured_backbone_anchor,B,exact_sra_project_tip_verified,Cirsium lineare,SAMN44017876,SRR30887240,2,PRJNA1158676,2,PRJNA1311153,outgroup/root reference; exact corolla wording not in supplement table,Moreyra2025_PRJNA957074|Chang2025_PRJNA1158676|Chang2026_PRJNA1311153,multiple_modern_nuclear_sources,species_placement_resolved_in_modern_nuclear_data,not_primary_population_target,reuse_existing_species_backbone_and_complete_trait_evidence,Moreyra Supplement S1 tip is linked to an exact PRJNA957074 scientific-name match; Chang 2025 has 2 transcriptome sample(s); Chang 2026 has 2 transcriptome sample(s)
Cirsium morii,Taiwan,Onotrophe_context,pink,2n=34,backbone_anchor,B,not_recovered_in_supplement_or_exact_runinfo,,,,0,,2,PRJNA1311153,taxon-level state,Chang2026_PRJNA1311153,phylotranscriptomic_local_backbone,species_placement_resolved_in_modern_nuclear_data,not_primary_population_target,reuse_existing_species_backbone_and_complete_trait_evidence,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2026 has 2 transcriptome sample(s)
Cirsium nipponicum,Korea/Ulleung and Japan,Nipponocirsium_context,coloured,2n=68,polyploid_coloured_anchor,B,exact_sra_project_tip_verified,Cirsium nipponicum|Cirsium nipponicum var. yoshinoi|Cirsium tanakae|Cirsium tonense,SAMN34240318|SAMN44017932|SAMN44017937|SAMN44017955,SRR25265660,0,,0,,,Moreyra2025_PRJNA957074,global_target_capture_tip_verified,species_placement_resolved_in_modern_nuclear_data,not_primary_population_target,reuse_existing_species_backbone_and_complete_trait_evidence,Moreyra Supplement S1 tip is linked to an exact PRJNA957074 scientific-name match
Cirsium nipponicum var. incomptum,Japan,Nipponocirsium,pale_purple,2n=4x=68,backbone_anchor,B,exact_sra_project_tip_verified,Cirsium tanakae|Cirsium tonense,SAMN44017932|SAMN44017937,SRR30887286,1,PRJNA1158676,0,,,Moreyra2025_PRJNA957074|Chang2025_PRJNA1158676,multiple_modern_nuclear_sources,species_placement_resolved_in_modern_nuclear_data,not_primary_population_target,reuse_existing_species_backbone_and_complete_trait_evidence,Moreyra Supplement S1 tip is linked to an exact PRJNA957074 scientific-name match; Chang 2025 has 1 transcriptome sample(s)
Cirsium rhinoceros,Korea/Jeju,Korean endemic,purple_with_historical_white_form,2n=32 with conflicting older report,independent_endemic_white_form_candidate,B,not_recovered_in_supplement_or_exact_runinfo,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,population_or_morph_history_missing,verify_synonyms_then_Compositae1061_target_capture_then_population_genomics,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; absence from these three sources is not proof of absence from all nuclear datasets
Cirsium schantarense,Korea/Manchuria/Sakhalin/Russian Far East,NE_Asia_bridge,coloured_with_historical_white_form,2n=34 plus B chromosomes,historical_white_form_transregional_bridge,B,not_recovered_in_supplement_or_exact_runinfo,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,population_or_morph_history_missing,verify_synonyms_then_Compositae1061_target_capture_then_population_genomics,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; absence from these three sources is not proof of absence from all nuclear datasets
Cirsium setidens,Korea,Korean endemic,purple_with_historical_white_form,2n=30/31/32,historical_white_form_candidate,B,not_recovered_in_supplement_or_exact_runinfo,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,population_or_morph_history_missing,verify_synonyms_then_Compositae1061_target_capture_then_population_genomics,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; absence from these three sources is not proof of absence from all nuclear datasets
Cirsium shansiense,China,unassigned_seed,pink_to_purple,unknown,coloured_backbone_gap,B,not_in_focal_moreyra_audit,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,not_primary_population_target,verify_synonyms_and_transition_value_before_target_capture,absence from these three sources is not proof of absence from all nuclear datasets
Cirsium suffultum,Japan,Nipponocirsium,bluish_purple,2n=4x=68,backbone_anchor,B,not_recovered_in_supplement_or_exact_runinfo,,,,1,PRJNA1158676,0,,,Chang2025_PRJNA1158676,phylotranscriptomic_local_backbone,species_placement_resolved_in_modern_nuclear_data,not_primary_population_target,reuse_existing_species_backbone_and_complete_trait_evidence,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2025 has 1 transcriptome sample(s)
Cirsium suzukii,Taiwan,Onotrophe_context,unknown,2n=34,phylogeny_gap,B,not_recovered_in_supplement_or_exact_runinfo,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,not_primary_population_target,verify_synonyms_and_transition_value_before_target_capture,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; absence from these three sources is not proof of absence from all nuclear datasets
Cirsium taiwanense,Taiwan,Australicirsium,yellow,2n=32,distinct_non_anthocyanin_colour_candidate,B,not_recovered_in_supplement_or_exact_runinfo,,,,0,,0,,,,no_modern_nuclear_tip_in_integrated_sources,candidate_species_gap_pending_synonym_and_other_dataset_audit,not_primary_population_target,verify_synonyms_and_transition_value_before_target_capture,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; absence from these three sources is not proof of absence from all nuclear datasets
Cirsium vlassovianum,Korea/Mongolia/China/Russian Far East,NE_Asia_bridge,coloured_with_historical_white_form,2n=30/31/32,transregional_white_form_standing_variation_candidate,B,exact_sra_project_tip_verified,Cirsium coryletorum|Cirsium vlassovianum,SAMN34240275|SAMN34240350,SRR25265601|SRR25265666,0,,0,,,Moreyra2025_PRJNA957074,global_target_capture_tip_verified,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra Supplement S1 tip is linked to an exact PRJNA957074 scientific-name match
Cirsium yezoense,Japan/Zhejiang China,Onotrophe context,coloured_pale_to_deep_red_purple,2n=34,east_asia_coloured_bridge_control,B,exact_sra_project_tip_verified,Cirsium yezoense,SAMN44017952,SRR30887226,0,,0,,,Moreyra2025_PRJNA957074,global_target_capture_tip_verified,species_placement_resolved_in_modern_nuclear_data,population_or_morph_history_missing,population_RAD_or_resequencing_plus_ploidy,Moreyra Supplement S1 tip is linked to an exact PRJNA957074 scientific-name match
Cirsium japonicum var. australe,Taiwan,Sinocirsium,bluish_purple,2n=34,coloured_flanking_control,C,not_recovered_in_supplement_or_exact_runinfo,,,,0,,3,PRJNA1311153,taxon-level state,Chang2026_PRJNA1311153,phylotranscriptomic_local_backbone,species_placement_resolved_in_modern_nuclear_data,not_primary_population_target,reuse_existing_species_backbone_and_complete_trait_evidence,Moreyra audit: not_recovered_in_supplement_or_exact_runinfo; Chang 2026 has 3 transcriptome sample(s)
