context_id,source_id,taxon,module,fdt1_seed_rows,study_design,study_setting,study_geography,latitude,longitude,elevation_m,coordinate_scope,geography_basis,geography_readiness,experimental_exposure_axis,exposure_assignment_unit,independent_exposure_replicates,exposure_readiness,comparable_estimand_family,effect_variance_status,fdt2_use,source_url,claim_boundary
FDT2C11,10.1073/pnas.1811492115,Solanum lycopersicum are mutant,colour_pigmentation,3,F3H_mutant_complementation_and_pollen_heat,greenhouse_lab,"No wild field outcome locality",,,,,primary_article,laboratory_or_greenhouse_without_field_origin,"temperature;ascorbic_acid;DPI;genotype_complementation","experiment for pollen tubes; fruit clustering unresolved","three acute experiments; final seed not crossed with heat",within_study_context_only,none_cross_study,partial,directional_exposure_calibration_only,https://pmc.ncbi.nlm.nih.gov/articles/PMC6255205/,Acute pollen heat is a flavonol ROS mechanism and cannot be pooled with visible petal colour or final seed responses.
FDT2C12,10.1086/694853,Mimulus guttatus,colour_pigmentation,1,family_aware_uv_drought_experiments,mixed_field_common_garden_chamber,"Hume source population reported; outcomes span chamber and Syracuse common garden",,,,,primary_article,laboratory_or_greenhouse_without_field_origin,"UV;watering;genotype","family nested in genotype; field randomized blocks","single chamber exposures; field seed not under UV/drought",manipulated_environment_confounded,none_cross_study,partial,directional_exposure_calibration_only,https://www.journals.uchicago.edu/doi/full/10.1086/694853,Source-population coordinates are not chamber exposure and the field seed endpoint was not measured under UV or drought.
FDT2C13,10.1093/aobpla/plv019,Pedicularis rex,bract_defence,3,six_population_bract_drainage,wild_field,"Six named Hengduan Mountain populations; exact Table S1 values unresolved",,,,,primary_article,reported_named_multi_site_only,"bract_drainage;year","population/plot/individual/capsule hierarchy","six populations and years inside one source cluster",within_study_context_only,none_cross_study,partial,descriptor_only,https://pmc.ncbi.nlm.nih.gov/articles/PMC4392828/,Site and year may describe tested within-study heterogeneity but do not create independent geographic studies.
FDT2C14,10.1098/rsbl.2007.0095,Chrysothemis friedrichsthaliana,bract_defence,1,calyx_liquid_drainage_refill,wild_field,"Osa Peninsula, Costa Rica; 2005-2006",,,,,primary_article,reported_region_only,"calyx_drainage;refill;year","buds with host-plant clustering unresolved","one regional site; year nested",within_study_context_only,none_cross_study,host_clustering_blocked,mechanism_context_only,https://pmc.ncbi.nlm.nih.gov/articles/PMC2390658/,Region and year are descriptive and the unresolved bud-to-plant ledger precludes a fitted moderator.
FDT2C15,10.1111/jse.12002,Lilium duchartrei,orientation,1,natural_slope_and_orientation_change,wild_field,"Hengduan Mountains region, China",,,,,primary_article,reported_region_only,"orientation;slope","unit and allocation unresolved","one source; exact site and hierarchy unresolved",qualitative_mechanism_only,none_cross_study,blocked,descriptor_only,https://www.jse.ac.cn/EN/10.1111/jse.12002,This direction-only slope interaction cannot support a latitude climate or generic orientation effect.
FDT2C16,10.1111/plb.13414,Platycodon grandiflorus,orientation,1,orientation_and_natural_rain_manipulation,mixed_field_lab,"Sugadaira plateau, Nagano, Japan",36.536917,138.348083,,single_treatment_site,primary_article,reported_exact_coordinates,"orientation;natural_rain;pollen_solution","plant/flower/pollen by endpoint and year","one field site; years and endpoints nested",within_study_context_only,none_cross_study,partial,directional_exposure_calibration_only,https://onlinelibrary.wiley.com/doi/10.1111/plb.13414,One exact site and unresolved rainfall amount cannot estimate a geographic or rain-dose moderator.
FDT2C17,10.1371/journal.pone.0093615,Saponaria officinalis,colour_pigmentation,1,split_plot_sun_shade_clone_experiment,common_garden,"Five nonstandard source coordinates; DePauw common garden exact coordinates unresolved",,,,,primary_article,reported_nonstandard_coordinates_unusable,"shade;genotype","clone nested in genotype and plot","five plots per cover but exposure confounded with plot",manipulated_environment_confounded,none_cross_study,split_plot_covariance_blocked,directional_exposure_calibration_only,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0093615,Invalid source coordinates cannot be used and source sites are not the common-garden exposure.
FDT2C18,10.1371/journal.pone.0095381,Corydalis sheareri,orientation,4,patch_based_orientation_manipulation,wild_field,"Sandouping, Hubei, China; 150 m",30.829528,111.067583,150,single_treatment_site,primary_article,reported_exact_coordinates,"orientation;visitor_guild","patch/plant/flower hierarchy","one field site; four seed rows one context",within_study_context_only,none_cross_study,partial,descriptor_only,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0095381,Exact geography describes one site only and patch plant flower nesting must be preserved.
FDT2C19,10.1371/journal.pone.0231611,Silene littorea,colour_pigmentation,3,source_family_uv_filter_experiment,common_garden,"Two source populations reported; garden coordinates unresolved",,,,,primary_article,laboratory_or_greenhouse_without_field_origin,UV_filter,"family and seedling nested under treatment bench","one bench per UV treatment",manipulated_environment_confounded,none_cross_study,partial,directional_exposure_calibration_only,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231611,Source coordinates are not garden UV exposure and a single bench per treatment blocks pooled moderation.
FDT2C20,10.1890/04-0972,Datura wrightii,stickiness_glandular_trichomes,2,factorial_common_garden_herbivory_density_experiment,common_garden,"UC Riverside Agricultural Operations; exact coordinates unresolved",,,,,primary_article,reported_named_site_only,"herbivory;density;stand_composition;year","plot/plant/year hierarchy","54 plots at one garden; years nested",within_study_context_only,none_cross_study,recoverable_within_study,mechanism_context_only,https://escholarship.org/content/qt8xt0j3bm/qt8xt0j3bm.pdf,Density and herbivory are within-garden experimental contexts and vegetative trichomes are not a floral-only calibration.
FDT2C21,10.2307/3672545,Centaurea solstitialis,bract_defence,4,paired_split_plant_spine_removal,wild_field,"Orchard Park near UC Davis; 1997",,,,,primary_article,reported_named_site_only,spine_removal,"paired sides and heads nested within 15 plants","one site; plant is cluster",within_study_context_only,none_cross_study,paired_covariance_blocked,mechanism_context_only,https://live-agrawal.pantheonsite.io/pdfs/2000/starthistle-2000.pdf,One-site paired manipulation supplies mechanism direction but not an environmental response surface.
FDT2C22,10.3389/fpls.2021.672368,Solanum lycopersicum hp2 alleles,colour_pigmentation,1,hp2_genotype_by_chronic_and_acute_heat,greenhouse_lab,"No wild field outcome locality",,,,,primary_article,laboratory_or_greenhouse_without_field_origin,temperature,"fruit nested in plant; pollen assay replicate","one greenhouse per chronic temperature",manipulated_environment_confounded,none_cross_study,partial,directional_exposure_calibration_only,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2021.672368/full,One greenhouse per temperature and pleiotropic DET1 effects prevent a common pigment-by-heat moderator estimate.
FDT2C23,10.3732/ajb.0900124,Monotropsis odorata,bract_defence,4,two_year_bract_removal,wild_field,"Cherokee National Forest, Tennessee treatment site; 535 m",35.329633,-84.282917,535,single_treatment_site,primary_article,reported_exact_coordinates,"bract_removal;year","plant clump; year nested","one treatment site; 45 then 25 plants per arm",within_study_context_only,none_cross_study,variance_blocked,descriptor_only,https://bsapubs.onlinelibrary.wiley.com/doi/10.3732/ajb.0900124,The Kentucky reflectance site is excluded from the Tennessee treatment outcome and one treatment site cannot support a geographic moderator.
